"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-ADBF30\Memory\Cache Bytes"	"\\SALAVATI-ADBF30\Memory\Pool Paged Allocs"	"\\SALAVATI-ADBF30\Memory\System Driver Total Bytes"	"\\SALAVATI-ADBF30\System\Context Switches/sec"	"\\SALAVATI-ADBF30\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 13:39:47.369"	"71442432"	"75487"	"3018752"	"4694.3735896425869"	"4694.3735896425869"
"12/11/2009 13:39:48.369"	"71430144"	"75451"	"3018752"	"4718.3274143053623"	"4718.3274143053623"
"12/11/2009 13:39:49.369"	"71417856"	"75442"	"3018752"	"4329.5803390534229"	"4331.5810693394915"
"12/11/2009 13:39:50.369"	"71401472"	"75280"	"3018752"	"4646.6646994211596"	"4706.1339439473741"
"12/11/2009 13:39:51.369"	"71454720"	"75488"	"3018752"	"4722.1702057394959"	"4660.28592065054"
"12/11/2009 13:39:52.369"	"71442432"	"75467"	"3018752"	"4806.9297085540165"	"4809.9153791804474"
"12/11/2009 13:39:53.369"	"71442432"	"75463"	"3018752"	"4369.5318873747156"	"4369.5318873747156"
"12/11/2009 13:39:54.369"	"71405568"	"75291"	"3018752"	"4648.9056307178871"	"4676.9352081640764"
"12/11/2009 13:39:55.369"	"71450624"	"75379"	"3018752"	"4831.3716393607283"	"4798.5930077614466"
"12/11/2009 13:39:56.369"	"71454720"	"75481"	"3018752"	"4813.3954932060615"	"4813.3954932060615"
"12/11/2009 13:39:57.369"	"71467008"	"75485"	"3018752"	"4437.4027218444771"	"4440.4029941378139"
"12/11/2009 13:39:58.369"	"71413760"	"75315"	"3018752"	"4562.8358287729825"	"4546.8188535074351"
"12/11/2009 13:39:59.369"	"71454720"	"75393"	"3018752"	"4719.761804882357"	"4718.7610072138068"
"12/11/2009 13:40:00.369"	"71471104"	"75493"	"3018752"	"4749.9841967304519"	"4750.9835622252413"
"12/11/2009 13:40:01.369"	"71458816"	"75381"	"3018752"	"4357.9099487984749"	"4359.9140462686055"
"12/11/2009 13:40:02.369"	"71421952"	"75331"	"3018752"	"4460.0176527399517"	"4457.0203290485942"
"12/11/2009 13:40:03.369"	"71479296"	"75418"	"3018752"	"4693.3000894883498"	"4693.3000894883498"
"12/11/2009 13:40:04.369"	"71475200"	"75504"	"3018752"	"4710.5789918895689"	"4709.5653101611651"
"12/11/2009 13:40:05.369"	"71479296"	"75409"	"3018752"	"4586.198518045012"	"4589.1849724739541"
"12/11/2009 13:40:06.369"	"71430144"	"75350"	"3018752"	"4457.7173467533066"	"4454.7141686620735"
